id,overall_acc,overall_sens,overall_spec,overall_posi_pred
8/1,0.9700374531835206,0.3076923076923077,0.0,0.032128514056224855
9/1,0.8816326530612245,0.19047619047619047,0.10344827586206896,0.04210526315789476
10/1,0.889763779527559,0.15300546448087432,0.0,0.2828282828282829
11/1,0.84,0.3252032520325203,0.0,0.23952095808383234
102/1,1.0,0.0,0.0,0.0
102/3,0.9809160305343512,0.047619047619047616,0.013636363636363636,0.0091324200913242
102/4,0.84,NaN,0.16,0.0
103/1,0.930921052631579,0.050359712230215826,0.2692307692307692,0.4242424242424242
105/1,1.0,0.0,0.0,0.0
106/1,0.7292307692307692,0.21395348837209302,0.38181818181818183,0.4035087719298246
107/1,0.9502262443438914,0.06611570247933884,0.03,0.07619047619047614
107/2,0.9420849420849421,0.35,0.0045662100456621,0.06034482758620685
107/3,0.7394366197183099,0.4484848484848485,0.0,0.383419689119171
107/4,0.991869918699187,0.0,0.012345679012345678,0.0
108/2,0.7727272727272727,0.5147058823529411,0.0,0.2892561983471075
109/1,0.595,0.0,0.48502994011976047,0.0
110/1,0.84,0.18055555555555555,0.0,0.5842696629213483
110/2,0.95,0.0599250936329588,0.0,0.23188405797101452
110/4,1.0,0.0,0.0,0.0
111/2,0.9652777777777778,0.0,0.04065040650406504,0.0
111/3,1.0,0.0,0.0,0.0
111/4,0.8439716312056738,0.1919191919191919,0.07142857142857142,0.3275862068965517
112/2,0.9121338912133892,0.21428571428571427,0.06091370558375635,0.046391752577319534
115/1,1.0,0.0,0.0,0.0
116/1,1.0,0.0,0.0,0.0
119/1,1.0,0.0,0.0,0.0
120/1,0.9760956175298805,0.23076923076923078,0.0,0.025974025974025983
120/2,0.933920704845815,0.4,0.024752475247524754,0.048309178743961345
120/4,0.8571428571428571,0.0,0.1650485436893204,0.0
121/1,0.8619528619528619,0.47619047619047616,0.004694835680751174,0.15873015873015872
123/1,0.610738255033557,0.40336134453781514,0.3333333333333333,0.7058823529411764
123/2,0.8113207547169812,0.04819277108433735,0.34210526315789475,0.07407407407407407
123/3,0.9409090909090909,0.08391608391608392,0.012987012987012988,0.13636363636363635
123/4,0.9538461538461539,0.02247191011235955,0.0975609756097561,0.05128205128205132
124/3,1.0,0.0,0.0,0.0
124/4,0.9690721649484536,0.0,0.03529411764705882,0.0
125/1,0.9745762711864406,0.0,0.03896103896103896,0.0
125/2,0.8734177215189873,0.14728682170542637,0.10185185185185185,0.1637931034482759
125/3,0.8588235294117647,0.17857142857142858,0.12280701754385964,0.09090909090909094
125/4,0.6773049645390071,0.3963963963963964,0.05,0.6068965517241379
128/1,0.9799196787148594,0.019230769230769232,0.02030456852791878,0.005154639175257714
128/2,0.9948586118251928,0.0,0.007518796992481203,0.0
128/3,0.8787878787878788,0.0,0.2033898305084746,0.0
128/4,0.8908450704225352,0.35294117647058826,0.005025125628140704,0.13157894736842102
130/1,1.0,0.0,0.0,0.0
130/2,0.9046052631578947,0.1039426523297491,0.0,0.537037037037037
130/3,0.6113074204946997,0.6265060240963856,0.05128205128205128,0.48372093023255813
130/4,0.7773722627737226,0.22666666666666666,0.21774193548387097,0.2595419847328244
132/3,0.8928571428571429,0.10714285714285714,NaN,1.0
132/4,0.9213483146067416,0.20588235294117646,0.0,0.11290322580645162
133/1,0.896,0.23636363636363636,0.0,0.15662650602409633
133/3,0.9887640449438202,0.010638297872340425,0.011904761904761904,0.011904761904761862
134/1,0.9922779922779923,0.0,0.01652892561983471,0.0
136/1,0.9855072463768116,0.019704433497536946,0.0,0.051948051948051965
136/2,0.9882352941176471,0.0,0.02459016393442623,0.0
136/3,0.8079710144927537,0.358974358974359,0.06918238993710692,0.2210526315789474
136/4,1.0,0.0,0.0,0.0
138/3,1.0,0.0,0.0,0.0
138/4,0.9820359281437125,0.023255813953488372,0.016129032258064516,0.008130081300813052
139/1,0.9726027397260274,0.011764705882352941,0.03731343283582089,0.007692307692307665
139/2,1.0,0.0,0.0,0.0
139/3,0.9676258992805755,0.0,0.04864864864864865,0.0
140/1,1.0,0.0,0.0,0.0
141/2,0.9954337899543378,0.0,0.0053475935828877,0.0
141/3,0.9962546816479401,0.0,0.0051813471502590676,0.0
141/4,1.0,0.0,0.0,0.0
145/2,0.6164874551971327,0.7681159420289855,0.0070921985815602835,0.43089430894308944
145/3,0.532051282051282,0.037037037037037035,0.5581395348837209,0.017241379310344862
145/4,0.9473684210526315,0.034482758620689655,0.057692307692307696,0.010101010101010055
148/1,0.8216783216783217,0.23214285714285715,0.16521739130434782,0.06341463414634141
148/2,0.9026217228464419,0.34375,0.06382978723404255,0.04761904761904767
148/3,0.5884353741496599,0.4444444444444444,0.35964912280701755,0.522875816993464
148/4,0.8028169014084507,0.11711711711711711,0.24855491329479767,0.09090909090909094
149/1,0.8578947368421053,0.25471698113207547,0.0,0.2432432432432432
149/2,0.8440366972477065,0.19767441860465115,0.0,0.42500000000000004
149/3,0.8502202643171806,0.09036144578313253,0.3114754098360656,0.26315789473684215
149/4,0.8872180451127819,0.2054794520547945,0.0,0.19999999999999996
150/1,0.9641255605381166,0.12121212121212122,0.0,0.048484848484848464
150/3,0.9868421052631579,0.024193548387096774,0.0,0.028037383177570097
150/4,0.9709302325581395,0.08333333333333333,0.008064516129032258,0.03149606299212604
151/1,0.9014778325123153,0.14457831325301204,0.06666666666666667,0.09677419354838712
151/2,0.9845360824742269,0.06451612903225806,0.006134969325153374,0.012195121951219523
151/3,0.9880952380952381,0.0,0.017857142857142856,0.0
151/4,1.0,0.0,0.0,0.0
153/1,0.9537037037037037,0.10869565217391304,0.0,0.07462686567164178
153/2,0.8861788617886179,0.18867924528301888,0.05714285714285714,0.13157894736842102
153/3,0.9301470588235294,0.10687022900763359,0.03546099290780142,0.09333333333333338
153/4,0.860655737704918,0.0593607305936073,0.84,0.7647058823529411
155/1,0.9669421487603306,0.0,0.044444444444444446,0.0
157/1,0.8307692307692308,0.09090909090909091,0.49019607843137253,0.4222222222222223
159/1,0.8651685393258427,0.18248175182481752,0.08461538461538462,0.17361111111111116
161/1,0.9496402877697842,0.0,0.06862745098039216,0.0
161/2,0.9,0.16153846153846155,0.02727272727272727,0.1640625
161/3,0.7573529411764706,0.2604166666666667,0.2,0.4385964912280702
162/1,0.9732824427480916,0.024390243902439025,0.027149321266968326,0.00462962962962965
162/2,0.9666666666666667,0.08108108108108109,0.0,0.0535714285714286
162/3,1.0,0.0,0.0,0.0
162/4,0.8951048951048951,0.2537313432835821,0.0593607305936073,0.07623318385650224
163/2,0.9847328244274809,0.08571428571428572,0.004405286343612335,0.013100436681222738
163/3,0.9578947368421052,0.04878048780487805,0.040268456375838924,0.01379310344827589
163/4,0.9567099567099567,0.18181818181818182,0.0,0.053763440860215006
164/1,1.0,0.0,0.0,0.0
167/4,0.9342723004694836,0.1951219512195122,0.03488372093023256,0.04597701149425293
168/4,0.9867109634551495,0.0,0.01694915254237288,0.0
169/3,0.9385474860335196,0.015503875968992248,0.18,0.046511627906976716
169/4,0.9821428571428571,0.022988505747126436,0.014598540145985401,0.014598540145985384
170/4,0.8884892086330936,0.11711711711711711,0.08928571428571429,0.33766233766233766
172/2,0.4827586206896552,0.0,0.78125,0.0
172/3,0.9581749049429658,0.05747126436781609,0.011235955056179775,0.10204081632653061
172/4,0.8892405063291139,0.02575107296137339,0.3493975903614458,0.09999999999999998
173/2,0.5807692307692308,0.6257309941520468,0.02247191011235955,0.5515463917525774
173/3,0.896551724137931,0.18181818181818182,0.08035714285714286,0.05504587155963303
173/4,0.9898648648648649,0.006134969325153374,0.015037593984962405,0.007575757575757569
174/1,0.53125,0.5687203791469194,0.0,0.7272727272727273
174/2,0.9704433497536946,0.03571428571428571,0.025210084033613446,0.025210084033613467
174/3,0.6523297491039427,0.1885245901639344,0.4713375796178344,0.21698113207547165
174/4,0.9222222222222223,0.10606060606060606,0.0,0.22580645161290325
175/2,0.7741935483870968,0.0,0.42,0.0
175/3,0.6597510373443983,0.0,0.37104072398190047,0.0
176/3,0.9817518248175182,0.058823529411764705,0.01556420233463035,0.003937007874015741
176/4,0.9078014184397163,0.10185185185185185,0.06060606060606061,0.26190476190476186
177/3,0.7888198757763976,0.19801980198019803,0.23333333333333334,0.303030303030303
177/4,0.7526501766784452,0.5918367346938775,0.06486486486486487,0.25108225108225113
178/3,0.6928571428571428,0.3559322033898305,0.045454545454545456,0.6666666666666667
179/2,0.8464566929133859,0.20207253886010362,0.0,0.39
179/3,0.9448529411764706,0.045454545454545456,0.08108108108108109,0.11688311688311692
179/4,0.9238754325259516,0.10795454545454546,0.02654867256637168,0.1472868217054264
180/2,0.9345454545454546,0.37142857142857144,0.020833333333333332,0.05241935483870963
181/2,0.9554140127388535,0.030303030303030304,0.04838709677419355,0.008403361344537785
181/3,1.0,0.0,0.0,0.0
182/3,0.9322033898305084,0.0,0.07326007326007326,0.0
182/4,0.9651162790697675,0.0,0.059602649006622516,0.0
183/2,0.25301204819277107,0.3142857142857143,0.8177570093457944,0.21999999999999997
183/3,0.9163179916317992,0.0916030534351145,0.07407407407407407,0.1071428571428571
184/2,0.9432624113475178,0.0,0.11428571428571428,0.0
184/3,1.0,0.0,0.0,0.0
184/4,0.9429824561403509,0.0,0.0783132530120482,0.0
185/3,0.8756218905472637,0.06172839506172839,0.16666666666666666,0.04761904761904767
186/2,0.6163522012578616,0.45864661654135336,0.0,0.7011494252873562
186/3,0.9456521739130435,0.022222222222222223,0.06060606060606061,0.004587155963302725
188/3,0.9576923076923077,0.1896551724137931,0.0,0.05164319248826288
188/4,0.9305555555555556,0.0,0.09433962264150944,0.0
189/2,1.0,0.0,0.0,0.0
