Subj,Session,Video ,Restrained Primary Coder,Restrained Reliability Coder,Restrained Prop Agree,Restrained Kappa
155,1,1,Hanzhi 12/08/24,sneha amin 1/7/25 ,0.945,0.92
157,1,1,Hanzhi 12/08/24,sneha amin 1/7/25,0.9567,0.91
159,1,1,Hanzhi 12/09/24,sneha amin 1/7/25,0.9943,0.99
161,1,1,Hanzhi 10/20/24,Ryan Han 10/29/2024,0.9963,0.99
161,2,1,Hanzhi 12/08/24,Hannah 01/06/25,0.9993,1
161,3,1,Hanzhi 12/08/24,Hannah 01/06/25,0.9958,0.99
161,4,1,Hanzhi 12/08/24,Hannah 01/06/25,0.9993,1
162,1,1,Hanzhi 11/26/24,sneha amin 12/3/24,0.9907,0.98
162,2,1,Hanzhi 12/08/24,sneha amin 12/3/24,0.9716,0.94
162,3,1,Hanzhi 12/08/24,sneha amin 12/3/24,0.998,0.99
162,4,1,Hanzhi 12/10/24,sneha amin 12/3/24,0.978,0.94
163,2,1,Hanzhi 12/10/24,sneha amin 12/5/24,0.9197,0.8
163,3,1,Hanzhi 12/10/24,sneha amin 12/5/24,0.9955,0.99
163,4,1,Hanzhi 12/10/24,sneha amin 12/5/24,0.9692,0.95
164,1,1,Hanzhi 10/20/24,Ryan Han 10/30/2024,0.9918,0.99
167,4,1,Hanzhi 12/16/24,"sneha amin 1/13/25; haven't finished yet, need to double check",0.9653,0.95
168,4,1,Hanzhi 12/11/24,sneha amin 1/8/25,0.9973,1
169,3,1,Hanzhi 01/14/24,sneha amin 1/8/25,0.9897,0.99
169,4,1,Hanzhi 12/07/24,Hannah 11/26/24,0.9788,0.96
170,4,1,Hanzhi 12/10/24,Hannah 11/27/24,0.9996,1
172,2,1,Hanzhi 12/10/24,Hannah 11/27/24,0.9996,1
172,3,1,Hanzhi 12/10/24,Hannah 11/27/24,0.9999,1
172,4,1,Hanzhi 12/11/24,Hannah 11/27/24,0.9997,1
173,1,1,Hanzhi 12/11/24,Hannah 12/02/24,0.9995,1
173,2,1,Hanzhi 12/11/24,Hannah 12/02/24,0.9856,0.97
173,3,1,Hanzhi 12/11/24,Hannah 12/02/24,0.9972,0.99
173,4,1,Hanzhi 12/11/24,Hannah 12/02/24,0.9995,1
174,1,1,Hanzhi 12/11/24,Hannah 12/03/24,0.9994,1
174,2,1,Hanzhi 12/11/24,Hannah 12/03/24,0.9982,1
174,3,1,Hanzhi 11/27/24,Hannah 01/15/25,0.9985,1
174,4,1,Hanzhi 12/12/24,Hannah 01/15/25,0.9994,1
175,2,1,Hanzhi 12/16/24,Hannah 01/15/25,0.9991,1
175,3,1,Hanzhi 12/16/24,Hannah 01/15/25,0.993,0.99
176,3,1,Hanzhi 12/12/24,Hannah 01/14/25,0.9996,1
176,4,1,Hanzhi 12/12/24,Hannah 01/14/25,0.9994,1
177,3,1,Hanzhi 12/12/24,Hannah 01/14/25,0.9993,1
177,4,1,Hanzhi 11/27/24,Ryan Han 11/29/2024,0.9999,1
178,3,1,Hanzhi 12/04/24,Hannah 01/06/25,0.9982,1
179,2,1,Hanzhi 12/04/24,Hannah 01/06/25,0.9994,1
179,3,1,Hanzhi 12/04/24,Hannah 01/06/25,0.9982,1
179,4,1,Hanzhi 12/16/24,Hannah 01/07/25,0.9984,1
180,2,1,Hanzhi 12/16/24,Hannah 01/08/25,0.9881,0.97
181,2,1,Hanzhi 11/27/24,Hannah 12/03/24,0.9997,1
181,3,1,Hanzhi 12/08/24,Hannah 12/03/24,0.9984,1
181,4,1,No video file,No video file,/,/
182,3,1,Hanzhi 12/07/24,sneha amin 1/8/25,0.9679,0.96
182,4,1,Hanzhi 12/16/24,sneha amin 1/8/25,0.9992,1
183,2,1,Hanzhi 12/16/24,sneha amin 1/21/25,0.9889,0.98
183,3,1,Hanzhi 12/16/24,sneha amin 1/13/25,0.9796,0.96
183,4,1,Do not code,Do not code,/,/
184,2,1,Hanzhi 12/21/24,sneha amin 1/13/25,0.9905,0.98
184,3,1,Hanzhi 12/12/24,Hannah 12/03/24,0.9988,1
184,4,1,Hanzhi 12/11/24,Hannah 12/03/24,0.9587,0.92
185,2,1,Do not code,Do not code,/,/
185,3,1,Hanzhi 12/21/24,Hannah 01/22/25,0.9997,1
186,2,1,Hanzhi 12/11/24,Hannah 12/05/24,0.993,0.98
186,3,1,Hanzhi 12/12/24,Hannah 12/05/24,0.9847,0.97
187,2,1,Do not code,Do not code,/,/
188,2,1,Do not code,Do not code,/,/
188,3,1,Hanzhi 12/21/24,Hannah 01/13/25,0.964,0.91
188,4,1,Hanzhi 12/06/24,Hannah 01/09/25,0.997,1
189,2,1,Hanzhi 12/21/24,Hannah 01/21/25,0.9972,1
