id,overall_acc,overall_sens,overall_spec,overall_posi_pred
10/1,0.895247332686712,0.13579387186629527,0.03354632587859425,0.24375000000000002
102/1,0.9691386457853524,0.0450849963045085,0.007334963325183374,0.06987399770904923
102/3,0.9385964912280702,0.1561712846347607,0.04013566986998304,0.035227272727272774
102/4,0.8338815789473685,0.0,0.1672185430463576,0.0
103/1,0.7668288726682887,0.24876293297345928,0.09053497942386832,0.7144702842377261
105/1,0.9895988112927192,0.00796812749003984,0.011848341232227487,0.004773269689737458
106/1,0.6388235294117647,0.34879518072289156,0.3842696629213483,0.5137533274179237
107/1,0.9321345707656613,0.11714589989350373,0.008917197452229299,0.12387387387387383
107/2,0.9435215946843853,0.24598930481283424,0.015579919215233698,0.05116796440489435
107/3,0.7580008768084173,0.413715146948003,0.0031446540880503146,0.366
107/4,0.9856506679861454,0.01828410689170183,0.012213740458015267,0.009946442234123998
108/2,0.7439120188531029,0.5772646536412078,0.0014084507042253522,0.3143133462282398
109/1,0.9808760024676126,0.06583072100313479,0.007680491551459293,0.015993907083015957
11/1,0.8439278937381404,0.3012512030798845,0.014967259120673527,0.22913616398243042
110/1,0.6097172441258463,0.43963963963963965,0.013745704467353952,0.772763262074426
110/2,0.7685447912444264,0.27383863080684595,0.026066350710900472,0.576725025746653
110/4,0.971957936905358,0.06314580941446613,0.0008880994671403197,0.04661016949152541
111/2,0.9448,0.07758620689655173,0.05009823182711198,0.018274111675126936
111/3,0.9837209302325581,0.03508771929824561,0.01404786680541103,0.004203888596952199
111/4,0.8851030110935024,0.11261261261261261,0.12032085561497326,0.2331002331002331
112/2,0.8728323699421965,0.19690265486725664,0.10775862068965517,0.05786736020806238
115/1,0.9723270440251572,0.06779661016949153,0.01073345259391771,0.02811950790861162
116/1,0.9601139601139601,0.056910569105691054,0.0,0.11764705882352944
119/1,0.973568281938326,0.07017543859649122,0.0,0.04067796610169494
120/1,0.9338159255429163,0.314410480349345,0.03284457478005865,0.04183614177803607
120/2,0.9168026101141925,0.415929203539823,0.0365778053316801,0.05703883495145634
120/4,0.8612099644128114,0.08530805687203792,0.1511500547645126,0.022698612862547263
121/1,0.8405612244897959,0.5287878787878788,0.015366430260047281,0.1732009925558312
123/1,0.3794295592048401,0.7091891891891892,0.2672413793103448,0.7941888619854721
123/2,0.89140625,0.16765578635014836,0.0429042904290429,0.16305916305916301
123/3,0.832183908045977,0.24274406332453827,0.026533996683250415,0.3198146002317497
123/4,0.921751968503937,0.0830945558739255,0.06761006289308176,0.1636107193229901
124/3,0.9962121212121212,0.0,0.007246376811594203,0.0
124/4,0.944977607165707,0.014563106796116505,0.061164333087693444,0.002349256068911565
125/1,0.9649036085022245,0.004310344827586207,0.05124340617935192,0.002377179080824132
125/2,0.8163049232398094,0.2676470588235294,0.08515535097813579,0.2556179775280899
125/3,0.8860759493670886,0.14107883817427386,0.1,0.07439824945295404
125/4,0.9755991285403051,0.028506271379703536,0.011090573012939002,0.0854700854700855
128/1,0.9614670380687094,0.04554079696394687,0.03626306084818685,0.015075376884422065
128/2,0.9781045751633987,0.012409513960703205,0.026278069756330624,0.005853658536585371
128/3,0.8769490096923725,0.007345225603357817,0.2007042253521127,0.0061295971978984065
128/4,0.8649237472766884,0.4008559201141227,0.01819322459222083,0.15222101841820157
130/1,0.9739837398373984,0.0546875,0.005571030640668524,0.037735849056603765
130/2,0.8542905692438403,0.16069745523091422,0.008620689655172414,0.5971978984238179
130/3,0.5796976241900648,0.7262357414448669,0.018,0.4930304594734125
130/4,0.7735268249780123,0.3106796116504854,0.12620423892100194,0.2974438419829589
132/3,0.884090909090909,0.1159090909090909,NaN,1.0
132/4,0.8473389355742297,0.3344947735191638,0.03044496487119438,0.18823529411764706
133/1,0.8735471873547187,0.2809573361082206,0.0016806722689075631,0.18518518518518523
133/3,0.9555160142348754,0.07542579075425791,0.015046296296296295,0.06790799561883898
134/1,0.9917834702754954,0.0037002775208140612,0.013157894736842105,0.0040858018386108474
136/1,0.8934126258005489,0.14663310258023915,0.0,0.28072289156626506
136/2,0.9567284831193533,0.05083179297597042,0.03525954946131244,0.05288461538461542
136/3,0.7712177121771218,0.46609257265877285,0.05084745762711865,0.2691112492231199
136/4,0.9893617021276596,0.004775549188156638,0.01665034280117532,0.0049554013875123815
138/3,0.922998986828774,0.11567164179104478,0.06258692628650904,0.04397163120567371
138/4,0.955456570155902,0.1450381679389313,0.0031446540880503146,0.05654761904761907
139/1,0.9772329246935202,0.016467065868263474,0.026794258373205742,0.010700389105058328
139/2,0.9853057982525815,0.007741347905282332,0.062111801242236024,0.053291536050156685
139/3,0.9330396475770925,0.04155495978552279,0.07939632545931759,0.021617852161785245
140/1,0.9984051036682615,0.0,0.0029585798816568047,0.0
141/2,0.9873490511788384,0.02877697841726619,0.009582477754962354,0.005498281786941561
141/3,0.9887859580692345,0.015306122448979591,0.009569377990430622,0.006172839506172867
141/4,0.9851485148514851,0.027285129604365622,0.008730691739422432,0.013368983957219305
145/2,0.6206896551724138,0.7591036414565826,0.010869565217391304,0.42677165354330704
145/3,0.6076055160885917,0.2772511848341232,0.4170471841704718,0.09241706161137442
145/4,0.9243452958292919,0.16488222698072805,0.049529780564263326,0.048336472065285574
148/1,0.8312274368231047,0.5907079646017699,0.06065759637188209,0.13877338877338874
148/2,0.8965188364329996,0.3723404255319149,0.06170798898071626,0.058075221238938046
148/3,0.5522904062229905,0.5814946619217082,0.24092409240924093,0.5421366954213669
148/4,0.7889492753623188,0.28883774453394706,0.16056758775205376,0.18254545454545457
149/1,0.8623237071860309,0.24052132701421802,0.0031007751937984496,0.2399527186761229
149/2,0.8870967741935484,0.1,0.1595744680851064,0.3008849557522124
149/3,0.855119825708061,0.08770614692653673,0.2968127490039841,0.24893617021276593
149/4,0.8751135331516803,0.21428571428571427,0.01134020618556701,0.21586263286999186
150/1,0.9253731343283582,0.214170692431562,0.009077155824508321,0.09216909216909219
150/3,0.9616797900262467,0.04121687929342493,0.034988713318284424,0.04682274247491636
150/4,0.9429280397022333,0.06451612903225806,0.05459057071960298,0.022241231822070162
151/1,0.8888888888888888,0.20839363241678727,0.04628736740597879,0.12709620476610772
151/2,0.9601494396014943,0.10452961672473868,0.02577710386656558,0.02281368821292773
151/3,0.98224043715847,0.0038022813688212928,0.0255863539445629,0.0021834061135370675
151/4,0.9755351681957186,0.03636363636363636,0.018433179723502304,0.018433179723502335
153/1,0.9092783505154639,0.18564356435643564,0.022968197879858657,0.11942675159235672
153/2,0.7908560311284046,0.32662192393736017,0.11876075731497418,0.22188449848024316
153/3,0.878692927484333,0.2078754578754579,0.03852889667250438,0.17132075471698116
153/4,0.797682279092226,0.1111111111111111,0.7857142857142857,0.7683397683397684
155/1,0.9812992125984252,0.04460966542750929,0.009370816599732263,0.015957446808510634
157/1,0.7816470588235294,0.172289156626506,0.3827956989247312,0.49912739965095987
159/1,0.8691026827012026,0.14848762603116408,0.11297852474323063,0.14568345323741005
161/1,0.9541984732824428,0.01579778830963665,0.05771643663739021,0.006613756613756627
161/2,0.8739130434782608,0.15114235500878734,0.09549356223175966,0.16945812807881777
161/3,0.7849705749207786,0.23633969716919026,0.1681159420289855,0.3847802786709539
162/1,0.940566037735849,0.08222811671087533,0.05450372920252438,0.01846337105419893
162/2,0.934714092751013,0.14456521739130435,0.009223674096848577,0.09353023909985936
162/3,0.9735006973500697,0.10367170626349892,0.00533175355450237,0.02779386218876667
162/4,0.8810344827586207,0.22003577817531306,0.0868824531516184,0.07105719237435004
163/2,0.966789667896679,0.14492753623188406,0.012068019747668678,0.02701242571582929
163/3,0.8486082824168364,0.2392638036809816,0.12641673931996514,0.07222222222222219
163/4,0.9433573635427395,0.1717171717171717,0.017277125086385625,0.05640345056403451
164/1,0.9959211420802175,0.0,0.005628517823639775,0.0
167/4,0.922165820642978,0.18204488778054864,0.047376093294460644,0.05289855072463767
168/4,0.9947939262472885,0.0019880715705765406,0.006104328523862375,0.0005580357142856984
169/3,0.8305203938115331,0.22808764940239043,0.028708133971291867,0.3606299212598425
169/4,0.9728289824187534,0.05019815059445178,0.011607142857142858,0.03318777292576425
170/4,0.9047178538390379,0.10223266745005875,0.06956521739130435,0.28903654485049834
172/2,0.5169642857142858,0.020969855832241154,0.7217332430602573,0.0374707259953162
172/3,0.9378698224852071,0.0797592174567344,0.02861230329041488,0.13503184713375793
172/4,0.777319587628866,0.212633953750705,0.25,0.4353348729792148
173/2,0.5390104662226451,0.687819110138585,0.03556771545827633,0.5722087378640777
173/3,0.8495460440985733,0.36140350877192984,0.0814687320711417,0.11400110680686215
173/4,0.9739357080799305,0.015163607342378291,0.03908484270734033,0.01850048685491723
174/1,0.47284504235176883,0.6426829268292683,0.010899182561307902,0.7438249823570924
174/2,0.923217550274223,0.11218836565096953,0.04896626768226333,0.08481675392670152
174/3,0.7888029130632681,0.20837696335078534,0.21336553945249598,0.16921768707482998
174/4,0.8777564717162033,0.1410842586544742,0.07027027027027027,0.29508196721311475
175/2,0.7934485896269335,0.002,0.3772954924874791,0.002673796791443861
175/3,0.7961595273264401,0.027649769585253458,0.2249173098125689,0.004249291784702569
176/3,0.9754137115839243,0.16875,0.01278772378516624,0.0137966274910577
176/4,0.6750902527075813,0.41906474820143885,0.03832116788321168,0.5701468189233279
177/3,0.7012195121951219,0.3271375464684015,0.25346534653465347,0.4118564742589703
177/4,0.7338638373121131,0.6286072772898369,0.0689419795221843,0.268632707774799
178/3,0.7383015597920277,0.3127659574468085,0.037383177570093455,0.5880000000000001
179/2,0.8376365441906654,0.21272365805168986,0.011881188118811881,0.39146341463414636
179/3,0.9454128440366972,0.04424778761061947,0.08193979933110368,0.11308562197092087
179/4,0.8951647411210955,0.1521585279547063,0.032467532467532464,0.193868349864743
180/2,0.9030162412993039,0.4774193548387097,0.033062330623306234,0.07660455486542439
181/2,0.9507094846900672,0.023880597014925373,0.05776892430278884,0.008385744234800874
181/3,0.9837962962962963,0.027777777777777776,0.00641025641025641,0.02310924369747902
182/3,0.9903635567236093,0.010471204188481676,0.009560229445506692,0.0009643201542912649
182/4,0.9564600094652154,0.0071174377224199285,0.06771653543307087,0.005042016806722671
183/2,0.291183879093199,0.554858934169279,0.7382953181272509,0.2887438825448614
183/3,0.7968069666182874,0.3095450490633363,0.07716701902748414,0.28442622950819674
184/2,0.9291338582677166,0.029209621993127148,0.1140819964349376,0.03307392996108949
184/3,0.9941690962099126,0.0,0.018018018018018018,0.0
184/4,0.9475542107917297,0.06920415224913495,0.04555160142348755,0.028964518464880573
185/3,0.8664343786295006,0.07528409090909091,0.1738703339882122,0.059284116331096204
186/2,0.4935897435897436,0.6073858114674441,0.0319634703196347,0.7467144563918757
186/3,0.9706293706293706,0.050505050505050504,0.024585477415666093,0.011587485515643148
188/3,0.9449976292081556,0.20355731225296442,0.008109794135995009,0.060838747784997094
188/4,0.9387755102040817,0.16091954022988506,0.023758099352051837,0.05833333333333335
189/2,0.9912587412587412,0.0037359900373599006,0.013143483023001095,0.0033185840707964376
8/1,0.9450841452612931,0.30333333333333334,0.016853932584269662,0.04513888888888884
9/1,0.859866048428645,0.34656084656084657,0.09021113243761997,0.08435286542176434
