id,overall_acc,overall_sens,overall_spec,overall_posi_pred
10/1,0.9016393442622951,0.13793103448275862,0.0,0.25531914893617025
102/1,0.9924242424242424,0.0121580547112462,0.0,0.019704433497536922
102/3,0.939453125,0.13636363636363635,0.04481132075471698,0.02877697841726623
102/4,0.8356164383561644,NaN,0.1643835616438356,0.0
103/1,0.9276094276094277,0.06691449814126393,0.125,0.42352941176470593
105/1,1.0,0.0,0.0,0.0
106/1,0.6543408360128617,0.28501228501228504,0.4604651162790698,0.5
107/1,0.9216152019002375,0.12608695652173912,0.020942408376963352,0.1342592592592593
107/2,0.944,0.2962962962962963,0.00954653937947494,0.0546697038724373
107/3,0.7522603978300181,0.4228395061728395,0.0,0.37431693989071035
107/4,0.9937759336099585,0.0,0.009554140127388535,0.0
108/2,0.7524752475247525,0.5481481481481482,0.005952380952380952,0.3070539419087137
109/1,0.989821882951654,0.013888888888888888,0.009345794392523364,0.0031347962382445305
11/1,0.8089430894308943,0.3770491803278688,0.008064516129032258,0.272189349112426
110/1,0.8371335504885994,0.181651376146789,0.014492753623188406,0.592814371257485
110/2,0.7783251231527094,0.26627218934911245,0.0,0.5696202531645569
110/4,0.9815573770491803,0.04245283018867924,0.0,0.03157894736842104
111/2,0.9484536082474226,0.08333333333333333,0.04526748971193416,0.016949152542372836
111/3,0.9961315280464217,0.0,0.0042643923240938165,0.0
111/4,0.8689655172413793,0.15121951219512195,0.08235294117647059,0.2844036697247706
112/2,0.8732106339468303,0.23711340206185566,0.09948979591836735,0.061170212765957466
115/1,0.9837837837837838,0.037037037037037035,0.007633587786259542,0.015151515151515138
116/1,0.9868421052631579,0.018518518518518517,0.0,0.04347826086956519
119/1,0.9906542056074766,0.02564102564102564,0.0,0.01449275362318836
120/1,0.9491525423728814,0.32075471698113206,0.016706443914081145,0.03962703962703962
120/2,0.9324324324324325,0.36538461538461536,0.02806122448979592,0.04749999999999999
120/4,0.8536585365853658,0.04878048780487805,0.16585365853658537,0.011560693641618491
121/1,0.8541300527240774,0.5192307692307693,0.004842615012106538,0.16463414634146345
123/1,0.5017667844522968,0.5374449339207048,0.3392857142857143,0.7672955974842768
123/2,0.8562091503267973,0.1,0.1917808219178082,0.11940298507462688
123/3,0.9245283018867925,0.09747292418772563,0.034013605442176874,0.1597633136094675
123/4,0.9175050301810865,0.05588235294117647,0.14012738853503184,0.12337662337662336
124/3,1.0,0.0,0.0,0.0
124/4,0.9573333333333334,0.0,0.04892966360856269,0.0
125/1,0.9706498951781971,0.0,0.04487179487179487,0.0
125/2,0.8344370860927153,0.16666666666666666,0.1642512077294686,0.19158878504672894
125/3,0.8975903614457831,0.14545454545454545,0.08108108108108109,0.07272727272727275
125/4,0.9781021897810219,0.028169014084507043,0.0,0.08955223880597019
128/1,0.9698795180722891,0.034782608695652174,0.028720626631853787,0.010638297872340385
128/2,0.9919678714859438,0.00425531914893617,0.009765625,0.0019685039370078705
128/3,0.8784722222222222,0.0,0.2028985507246377,0.0
128/4,0.8860759493670886,0.36363636363636365,0.007731958762886598,0.1348314606741573
130/1,0.9849624060150376,0.038461538461538464,0.0,0.02409638554216864
130/2,0.8838821490467937,0.12547528517110265,0.0196078431372549,0.5689655172413793
130/3,0.6125,0.653125,0.03333333333333333,0.4739229024943311
130/4,0.7825278810408922,0.2363013698630137,0.1951219512195122,0.2584269662921348
132/3,0.8317757009345794,0.16822429906542055,NaN,1.0
132/4,0.8654970760233918,0.3188405797101449,0.00980392156862745,0.17886178861788615
133/1,0.878968253968254,0.26548672566371684,0.0035971223021582736,0.17804154302670627
133/3,0.9652406417112299,0.053475935828877004,0.016042780748663103,0.05154639175257736
134/1,0.9840319361277445,0.0,0.03375527426160337,0.0
136/1,0.9530075187969925,0.0641025641025641,0.0,0.14970059880239517
136/2,0.9741035856573705,0.023346303501945526,0.02857142857142857,0.024590163934426257
136/3,0.8121442125237192,0.3377777777777778,0.076158940397351,0.21408450704225357
136/4,0.9900990099009901,0.003875968992248062,0.016194331983805668,0.004098360655737654
138/3,0.940677966101695,0.09375,0.046511627906976744,0.03529411764705881
138/4,0.975,0.0898876404494382,0.0,0.03347280334728031
139/1,0.9857482185273159,0.018292682926829267,0.011673151750972763,0.011673151750972721
139/2,0.9935794542536116,0.001834862385321101,0.038461538461538464,0.013157894736842146
139/3,0.9448529411764706,0.016574585635359115,0.0743801652892562,0.008849557522123908
140/1,1.0,0.0,0.0,0.0
141/2,0.9976415094339622,0.0,0.002770083102493075,0.0
141/3,0.9880952380952381,0.013888888888888888,0.011111111111111112,0.005586592178770999
141/4,0.9963369963369964,0.005555555555555556,0.00273224043715847,0.002732240437158473
145/2,0.6135084427767354,0.7680608365019012,0.014814814814814815,0.43162393162393164
145/3,0.6496598639455783,0.05825242718446602,0.41237113402061853,0.020618556701030966
145/4,0.9148514851485149,0.10714285714285714,0.07888040712468193,0.03208556149732622
148/1,0.7573529411764706,0.5321100917431193,0.17011494252873563,0.13842482100238662
148/2,0.8910505836575876,0.38461538461538464,0.06904231625835189,0.05643340857787815
148/3,0.5478723404255319,0.49709302325581395,0.38181818181818183,0.5570032573289903
148/4,0.7388888888888889,0.18396226415094338,0.31097560975609756,0.14716981132075468
149/1,0.8575418994413407,0.2524752475247525,0.0,0.24637681159420288
149/2,0.9047619047619048,0.09036144578313253,0.11363636363636363,0.2777777777777778
149/3,0.8487584650112867,0.08641975308641975,0.3277310924369748,0.2592592592592593
149/4,0.8745247148288974,0.21575342465753425,0.01282051282051282,0.2142857142857143
150/1,0.9469026548672567,0.17142857142857143,0.0,0.0714285714285714
150/3,0.9845814977973568,0.02040816326530612,0.009569377990430622,0.02358490566037741
150/4,0.9696969696969697,0.06315789473684211,0.018656716417910446,0.022304832713754608
151/1,0.8759305210918115,0.1901840490797546,0.07916666666666666,0.12301587301587302
151/2,0.9634464751958225,0.09523809523809523,0.025,0.018867924528301883
151/3,0.9880239520958084,0.017241379310344827,0.009174311926605505,0.00917431192660545
151/4,0.9802631578947368,0.0,0.02912621359223301,0.0
153/1,0.9406392694063926,0.13186813186813187,0.0078125,0.08633093525179858
153/2,0.8361344537815126,0.28431372549019607,0.07352941176470588,0.18709677419354842
153/3,0.9259962049335864,0.12062256809338522,0.02962962962962963,0.10580204778156999
153/4,0.8225469728601252,0.10304449648711944,0.7884615384615384,0.8
155/1,0.9747899159663865,0.01639344262295082,0.02824858757062147,0.005780346820809301
